,Optim_params_exp,Optim_params_lin,cell,experiment_id,image_name,r_sq_exp,r_sq_lin,session_type
33,"[array([ -4.59952679e+00,   1.40673374e-03,   4.56148129e+00]), array([[  6.24387455e+04,   1.96436659e+01,  -6.24547840e+04],
       [  1.96436659e+01,   6.18039631e-03,  -1.96487438e+01],
       [ -6.24547840e+04,  -1.96487438e+01,   6.24708304e+04]])]","[array([-0.03688836,  0.00629168]), array([[  3.59700848e-03,  -1.33222536e-04],
       [ -1.33222536e-04,   6.66112683e-06]])]",4,652844352,im061,0.132237426662,0.132228940314,behavior_session_A
34,"[array([-0.37686704,  0.15038634,  0.25112607]), array([[ 0.05421963, -0.01752152, -0.00253172],
       [-0.01752152,  0.03702933, -0.01198783],
       [-0.00253172, -0.01198783,  0.0083016 ]])]","[array([ 0.09391386,  0.00461017]), array([[  1.17281516e-02,  -4.45372846e-04],
       [ -4.45372846e-04,   2.28396331e-05]])]",4,652844352,im062,0.0771290750317,0.0239030447672,behavior_session_A
35,"[array([-0.16242174,  0.04370856,  0.15505745]), array([[ 0.08503626,  0.04879396, -0.09362619],
       [ 0.04879396,  0.0399123 , -0.06673006],
       [-0.09362619, -0.06673006,  0.11874362]])]","[array([ 0.01533243,  0.00312646]), array([[  5.49920232e-03,  -2.03674155e-04],
       [ -2.03674155e-04,   1.01837077e-05]])]",4,652844352,im069,0.0265800910549,0.0240202287844,behavior_session_A
36,"[array([ -1.67602357e+02,   1.30998756e-05,   1.67603720e+02]), array([[  1.37843521e+12,   1.07764493e+05,  -1.37843522e+12],
       [  1.07764493e+05,   8.42490527e-03,  -1.07764494e+05],
       [ -1.37843522e+12,  -1.07764494e+05,   1.37843524e+12]])]","[array([ 0.00136374,  0.00219559]), array([[  7.89016207e-04,  -2.99626453e-05],
       [ -2.99626453e-05,   1.53654602e-06]])]",4,652844352,im085,0.0762588414716,0.0762644539977,behavior_session_A
37,"[array([-0.38446649,  0.01157719,  0.39424914]), array([[ 12.34614336,   0.47089324, -12.54688653],
       [  0.47089324,   0.01806279,  -0.47911828],
       [-12.54688653,  -0.47911828,  12.75485785]])]","[array([ 0.01505726,  0.00357305]), array([[  3.04247508e-03,  -1.15537026e-04],
       [ -1.15537026e-04,   5.92497564e-06]])]",4,652844352,im065,0.0537779699343,0.05366045155,behavior_session_A
38,"[array([-0.15804932,  0.08924375,  0.12951526]), array([[ 0.01444379, -0.00168653, -0.00322853],
       [-0.00168653,  0.03394539, -0.01370679],
       [-0.00322853, -0.01370679,  0.00762467]])]","[array([ 0.03041645,  0.0027347 ]), array([[  3.92662630e-03,  -1.41926254e-04],
       [ -1.41926254e-04,   6.92323196e-06]])]",4,652844352,im063,0.0426992279768,0.0262953024405,behavior_session_A
39,"[array([ -2.34720633e-02,   3.48470595e+01,   1.27448115e-02]), array([[  3.19685615e-04,   1.69595759e+05,  -7.99214033e-06],
       [  1.69595759e+05,   1.43955040e+17,  -1.69595759e+05],
       [ -7.99214033e-06,  -1.69595759e+05,   7.99214032e-06]])]","[array([ 0.01726654, -0.00025471]), array([[  2.89694709e-05,  -1.07294338e-06],
       [ -1.07294338e-06,   5.36471688e-08]])]",5,652844352,im066,0.0434103265436,0.0300760591269,behavior_session_A
40,"[array([  2.94327875e-03,   3.38912477e+01,   2.98030697e-03]), array([[  3.41651090e-04,  -3.04059855e+06,  -8.54127730e-06],
       [ -3.04059855e+06,   4.32967535e+19,   3.04059860e+06],
       [ -8.54127730e-06,   3.04059860e+06,   8.54127743e-06]])]","[array([ 0.01147947, -0.00042137]), array([[  2.80963040e-05,  -1.04060385e-06],
       [ -1.04060385e-06,   5.20301926e-08]])]",5,652844352,im061,0.000667233678556,0.080459155574,behavior_session_A
41,"[array([ 0.02521407,  0.18936419,  0.00712458]), array([[  2.81068736e-04,   1.81756233e-03,  -9.00778037e-06],
       [  1.81756233e-03,   5.83638672e-02,   7.54740753e-04],
       [ -9.00778037e-06,   7.54740753e-04,   2.75596581e-05]])]","[array([ 0.01327412, -0.00012808]), array([[  5.26574414e-05,  -1.99964968e-06],
       [ -1.99964968e-06,   1.02546138e-07]])]",5,652844352,im062,0.0711057726816,0.00419184575239,behavior_session_A
42,"[array([ 0.03736807,  0.13650619, -0.01051328]), array([[  1.48240853e-04,   4.24223275e-04,  -8.05405891e-06],
       [  4.24223275e-04,   9.03058017e-03,   3.48565415e-04],
       [ -8.05405891e-06,   3.48565415e-04,   2.65491812e-05]])]","[array([ 0.00881565, -0.00061063]), array([[  3.56630696e-05,  -1.32085442e-06],
       [ -1.32085442e-06,   6.60427208e-08]])]",5,652844352,im069,0.222646579479,0.126459349518,behavior_session_A
43,"[array([ 0.03462717,  0.17355155,  0.00893802]), array([[  1.48577520e-04,   6.31281607e-04,  -5.33917923e-06],
       [  6.31281607e-04,   1.44181043e-02,   3.11191885e-04],
       [ -5.33917923e-06,   3.11191885e-04,   1.70292245e-05]])]","[array([ 0.02385754, -0.00048674]), array([[  3.17132076e-05,  -1.20429902e-06],
       [ -1.20429902e-06,   6.17589243e-08]])]",5,652844352,im085,0.211305198252,0.0916938125335,behavior_session_A
44,"[array([ 0.03490293,  0.14398258, -0.00149315]), array([[  1.41584740e-04,   4.62319693e-04,  -7.32386246e-06],
       [  4.62319693e-04,   1.07323242e-02,   3.55109182e-04],
       [ -7.32386246e-06,   3.55109182e-04,   2.39111031e-05]])]","[array([ 0.01608252, -0.00056868]), array([[  3.35578808e-05,  -1.27434991e-06],
       [ -1.27434991e-06,   6.53512776e-08]])]",5,652844352,im065,0.21294796153,0.115219700365,behavior_session_A
45,"[array([ 0.03966778,  0.16672928,  0.00380226]), array([[  1.85380708e-04,   6.67941661e-04,  -6.24634879e-06],
       [  6.67941661e-04,   1.24948310e-02,   3.17008050e-04],
       [ -6.24634879e-06,   3.17008050e-04,   2.06148114e-05]])]","[array([ 0.02043818, -0.00051178]), array([[  3.91872702e-05,  -1.41640736e-06],
       [ -1.41640736e-06,   6.90930423e-08]])]",5,652844352,im063,0.212298456988,0.0865659429921,behavior_session_A
46,"[array([ 0.06636796,  0.16537321,  0.00591156]), array([[  2.63092298e-04,   5.61145608e-04,  -8.97084112e-06],
       [  5.61145608e-04,   6.26501092e-03,   2.70732345e-04],
       [ -8.97084112e-06,   2.70732345e-04,   2.96965432e-05]])]","[array([ 0.03673844, -0.00099852]), array([[  5.96755323e-05,  -2.15694697e-06],
       [ -2.15694697e-06,   1.05216926e-07]])]",5,652844352,im077,0.346666989032,0.191529035352,behavior_session_A
47,"[array([ 0.01431999,  0.14705334,  0.00505381]), array([[  1.44944003e-04,   1.21360162e-03,  -6.57652930e-06],
       [  1.21360162e-03,   6.52399766e-02,   8.16851869e-04],
       [ -6.57652930e-06,   8.16851869e-04,   2.19405413e-05]])]","[array([ 0.01012725, -0.00012628]), array([[  3.05406905e-05,  -1.13113668e-06],
       [ -1.13113668e-06,   5.65568334e-08]])]",6,652844352,im066,0.0422372548081,0.00717756271095,behavior_session_A
48,"[array([-0.02514404,  0.9932491 , -0.00113889]), array([[  2.59142223e-04,  -6.88861572e-03,  -6.09246174e-06],
       [ -6.88861572e-03,   2.03224465e+00,  -8.96715010e-04],
       [ -6.09246174e-06,  -8.96715010e-04,   7.06023542e-06]])]","[array([ 0.00326022, -0.00026866]), array([[  2.43921830e-05,  -9.03414190e-07],
       [ -9.03414190e-07,   4.51707099e-08]])]",6,652844352,im061,0.0659153670239,0.0393581071691,behavior_session_A
49,"[array([-0.02879508,  0.37154742,  0.00737208]), array([[  1.94575841e-04,  -2.17254927e-03,  -4.47502671e-06],
       [ -2.17254927e-03,   1.07806660e-01,  -3.80736294e-04],
       [ -4.47502671e-06,  -3.80736294e-04,   8.53405778e-06]])]","[array([-0.00237183,  0.00038073]), array([[  2.48090658e-05,  -9.42116407e-07],
       [ -9.42116407e-07,   4.83136615e-08]])]",6,652844352,im062,0.12938343331,0.0731773118853,behavior_session_A
50,"[array([-0.02851937,  0.45674722,  0.00689141]), array([[  1.25089906e-03,  -1.70158909e-02,  -2.74549507e-05],
       [ -1.70158909e-02,   1.10328314e+00,  -2.48268609e-03],
       [ -2.74549507e-05,  -2.48268609e-03,   4.58397957e-05]])]","[array([-0.00315689,  0.00040756]), array([[  1.35466651e-04,  -5.01728343e-06],
       [ -5.01728343e-06,   2.50864175e-07]])]",6,652844352,im069,0.0211963836416,0.0166942705665,behavior_session_A
51,"[array([  8.15432183e-04,   2.04388351e+01,   7.79683778e-03]), array([[  4.57748320e-04,  -1.65455976e+04,  -1.17371365e-05],
       [ -1.65455976e+04,   9.09706334e+14,   1.65462264e+04],
       [ -1.17371365e-05,   1.65462264e+04,   1.17371367e-05]])]","[array([ 0.0188568 , -0.00056613]), array([[  3.75092012e-05,  -1.42440003e-06],
       [ -1.42440003e-06,   7.30461552e-08]])]",6,652844352,im085,3.92853591403e-05,0.103513760788,behavior_session_A
52,"[array([ 0.19972341,  0.17221617,  0.03015611]), array([[ 0.00952011,  0.00695413, -0.00034557],
       [ 0.00695413,  0.02750226,  0.00347631],
       [-0.00034557,  0.00347631,  0.001105  ]])]","[array([ 0.125601  , -0.00327773]), array([[  1.87360332e-03,  -7.11494935e-05],
       [ -7.11494935e-05,   3.64869199e-06]])]",6,652844352,im065,0.121988869902,0.0719141403742,behavior_session_A
53,"[array([ -2.12107078e-02,   1.79663856e+01,   1.20729129e-02]), array([[  5.19938749e-04,   2.78257258e+03,  -1.26814329e-05],
       [  2.78257258e+03,   2.50331873e+13,  -2.78259640e+03],
       [ -1.26814329e-05,  -2.78259640e+03,   1.26814329e-05]])]","[array([  1.25614018e-02,  -4.84636945e-05]), array([[  4.64352485e-05,  -1.67838247e-06],
       [ -1.67838247e-06,   8.18723152e-08]])]",6,652844352,im063,0.0217178166394,0.000716678824911,behavior_session_A
54,"[array([ 0.03812958,  0.06250607, -0.00226105]), array([[ 0.0003091 , -0.00068166, -0.00022869],
       [-0.00068166,  0.0078855 ,  0.00159001],
       [-0.00022869,  0.00159001,  0.00037107]])]","[array([ 0.02707143, -0.00075292]), array([[  6.62731551e-05,  -2.39541526e-06],
       [ -2.39541526e-06,   1.16849526e-07]])]",6,652844352,im077,0.129714922903,0.108165661661,behavior_session_A
55,"[array([ -1.68786361e-02,   3.22588140e+01,   1.54517065e-02]), array([[ inf,  inf,  inf],
       [ inf,  inf,  inf],
       [ inf,  inf,  inf]])]","[array([ 0.01132572,  0.00018572]), array([[  3.21892597e-05,  -1.19219480e-06],
       [ -1.19219480e-06,   5.96097399e-08]])]",7,652844352,im066,0.0205239652534,0.0146190364946,behavior_session_A
56,"[array([ -4.29970206e-02,   1.93912715e+01,  -9.21251795e-04]), array([[  3.45930032e-04,   9.22649793e+03,  -8.64824734e-06],
       [  9.22649793e+03,   3.93737411e+14,  -9.22650894e+03],
       [ -8.64824734e-06,  -9.22650894e+03,   8.64825035e-06]])]","[array([-0.01274906,  0.00053896]), array([[  3.12456262e-05,  -1.15724543e-06],
       [ -1.15724543e-06,   5.78622717e-08]])]",7,652844352,im061,0.123365802543,0.114040432795,behavior_session_A
57,"[array([ -2.32506525e-02,   2.67689006e+01,   6.80178973e-03]), array([[ inf,  inf,  inf],
       [ inf,  inf,  inf],
       [ inf,  inf,  inf]])]","[array([ 0.01253908, -0.00032403]), array([[  2.63873202e-05,  -1.00205013e-06],
       [ -1.00205013e-06,   5.13871860e-08]])]",7,652844352,im062,0.0480578149782,0.0510250326613,behavior_session_A
58,"[array([-0.00673234,  0.96534296, -0.00475109]), array([[  2.68458611e-04,  -2.62952480e-02,  -6.28844946e-06],
       [ -2.62952480e-02,   2.71634986e+01,  -3.38878937e-03],
       [ -6.28844946e-06,  -3.38878937e-03,   7.35372168e-06]])]","[array([ -3.50953723e-03,  -7.53378571e-05]), array([[  2.46744203e-05,  -9.13867420e-07],
       [ -9.13867420e-07,   4.56933715e-08]])]",7,652844352,im069,0.00488527835903,0.00317488252035,behavior_session_A
